119 Werder_Bremen_ Levski_Sofia_ 1 2
120 Chelsea_FC_ FC_Barcelona_ 1 1
121 Bayern_München_ Sporting_CP_ 1 1
122 Internazionale_ Spartak_Moskva_ 1 1
123 PSV_Eindhoven_ Galatasaray_İstanbul_AŞ_ 1 1
124 Liverpool_FC_ Girondins_Bordeaux_ 1 1
125 Valencia_CF_ Shakhtar_Donetsk_ 1 2
126 AS_Roma_ Olympiacos_ 1 1
127 Werder_Bremen_ Levski_Sofia_ 1 3
128 Internazionale_ Spartak_Moskva_ 1 1
129 Liverpool_FC_ Girondins_Bordeaux_ 1 3
130 PSV_Eindhoven_ Galatasaray_İstanbul_AŞ_ 1 2
131 Real_Madrid_CF_ Steaua_Bucuresti_ 1 1
132 Olympique_Lyon_ Dinamo_Kiev_ 1 1
133 SL_Benfica_ Celtic_FC_ 1 3
134 Kobenhavn_ Manchester_United_FC_ 1 1
135 FC_Porto_ Hamburger_SV_ 1 2
136 AEK_Athens_ Lille_OSC_ 1 1
137 AC_Milan_ RSC_Anderlecht_ 1 3
138 Celtic_FC_ Manchester_United_FC_ 1 1
139 SL_Benfica_ Kobenhavn_ 1 2
140 FC_Porto_ CSKA_Moskva_ 1 2
141 Arsenal_FC_ Hamburger_SV_ 1 2
142 AEK_Athens_ AC_Milan_ 1 1
143 Werder_Bremen_ Chelsea_FC_ 1 1
144 FC_Barcelona_ Levski_Sofia_ 1 2
145 Internazionale_ Sporting_CP_ 1 1
146 Liverpool_FC_ PSV_Eindhoven_ 1 2
147 Girondins_Bordeaux_ Galatasaray_İstanbul_AŞ_ 1 2
148 Shakhtar_Donetsk_ AS_Roma_ 1 1
149 Valencia_CF_ Olympiacos_ 1 2
150 FC_Barcelona_ Werder_Bremen_ 1 2
151 Chelsea_FC_ Levski_Sofia_ 1 2
152 Spartak_Moskva_ Sporting_CP_ 1 2
153 Galatasaray_İstanbul_AŞ_ Liverpool_FC_ 1 1
154 Girondins_Bordeaux_ PSV_Eindhoven_ 1 2
155 AS_Roma_ Valencia_CF_ 1 1
156 Manchester_United_FC_ SL_Benfica_ 1 2
157 Kobenhavn_ Celtic_FC_ 1 2
158 Hamburger_SV_ CSKA_Moskva_ 1 1
159 Lille_OSC_ AC_Milan_ 1 2
160 Real_Madrid_CF_ Bayern_München_ 1 1
161 Manchester_United_FC_ Lille_OSC_ 1 1
162 PSV_Eindhoven_ Arsenal_FC_ 1 1
163 Liverpool_FC_ FC_Barcelona_ 1 1
164 FC_Barcelona_ Liverpool_FC_ 1 1
165 AS_Roma_ Olympique_Lyon_ 1 2
166 Chelsea_FC_ FC_Porto_ 1 1
167 Bayern_München_ Real_Madrid_CF_ 1 1
168 Manchester_United_FC_ Lille_OSC_ 1 1
169 Liverpool_FC_ PSV_Eindhoven_ 1 3
170 AS_Roma_ Manchester_United_FC_ 1 1
171 Chelsea_FC_ Valencia_CF_ 1 1
172 Manchester_United_FC_ AS_Roma_ 1 6
173 Liverpool_FC_ PSV_Eindhoven_ 1 1
174 AC_Milan_ Bayern_München_ 1 2
175 Manchester_United_FC_ AC_Milan_ 1 1
176 Chelsea_FC_ Liverpool_FC_ 1 1
177 Liverpool_FC_ Chelsea_FC_ 1 1
178 AC_Milan_ Manchester_United_FC_ 1 3
179 AC_Milan_ Liverpool_FC_ 1 1
180 Olympique_Marseille_ Beşiktaş_İstanbul_JK_ 1 2
181 Valencia_CF_ FC_Schalke_04_ 1 1
182 Real_Madrid_CF_ Werder_Bremen_ 1 1
183 Shakhtar_Donetsk_ Celtic_FC_ 1 2
184 AC_Milan_ SL_Benfica_ 1 1
185 FC_Barcelona_ Olympique_Lyon_ 1 3
186 Rangers_FC_ VfB_Stuttgart_ 1 1
187 AS_Roma_ Dinamo_Kiev_ 1 2
188 Manchester_United_FC_ Sporting_CP_ 1 1
189 PSV_Eindhoven_ CSKA_Moskva_ 1 1
190 Fenerbahçe_İstanbul_SK_ Internazionale_ 1 1
191 Slavia_Praha_ Steaua_Bucuresti_ 1 1
192 Arsenal_FC_ Sevilla_FC_ 1 3
193 Rangers_FC_ Olympique_Lyon_ 1 3
194 FC_Barcelona_ VfB_Stuttgart_ 1 2
195 Manchester_United_FC_ AS_Roma_ 1 1
196 Sporting_CP_ Dinamo_Kiev_ 1 1
197 Internazionale_ PSV_Eindhoven_ 1 2
198 Arsenal_FC_ Steaua_Bucuresti_ 1 1
199 Sevilla_FC_ Slavia_Praha_ 1 2
200 Olympique_Marseille_ Liverpool_FC_ 1 1
201 FC_Porto_ Beşiktaş_İstanbul_JK_ 1 1
202 Chelsea_FC_ Valencia_CF_ 1 1
203 FC_Schalke_04_ Rosenborg_BK_ 1 2
204 Olympiacos_ Werder_Bremen_ 1 2
205 Celtic_FC_ AC_Milan_ 1 1
206 Shakhtar_Donetsk_ SL_Benfica_ 1 1
207 Olympique_Lyon_ VfB_Stuttgart_ 1 2
208 AS_Roma_ Sporting_CP_ 1 1
209 Manchester_United_FC_ Dinamo_Kiev_ 1 2
210 Internazionale_ CSKA_Moskva_ 1 1
211 Arsenal_FC_ Slavia_Praha_ 1 7
212 Sevilla_FC_ Steaua_Bucuresti_ 1 1
213 Beşiktaş_İstanbul_JK_ Liverpool_FC_ 1 1
214 Rosenborg_BK_ Valencia_CF_ 1 2
215 Chelsea_FC_ FC_Schalke_04_ 1 2
216 Werder_Bremen_ SS_Lazio_ 1 1
217 Real_Madrid_CF_ Olympiacos_ 1 2
218 SL_Benfica_ Celtic_FC_ 1 1
219 AC_Milan_ Shakhtar_Donetsk_ 1 3
220 Liverpool_FC_ Beşiktaş_İstanbul_JK_ 1 8
221 FC_Porto_ Olympique_Marseille_ 1 1
222 Rosenborg_BK_ Valencia_CF_ 1 2
223 SS_Lazio_ Werder_Bremen_ 1 1
224 Celtic_FC_ SL_Benfica_ 1 1
225 AC_Milan_ Shakhtar_Donetsk_ 1 3
226 FC_Barcelona_ Rangers_FC_ 1 2
227 Olympique_Lyon_ VfB_Stuttgart_ 1 2
228 Manchester_United_FC_ Dinamo_Kiev_ 1 4
229 Internazionale_ CSKA_Moskva_ 1 2
230 Fenerbahçe_İstanbul_SK_ PSV_Eindhoven_ 1 2
231 Sevilla_FC_ Steaua_Bucuresti_ 1 2
232 VfB_Stuttgart_ Rangers_FC_ 1 1
233 AS_Roma_ Dinamo_Kiev_ 1 3
234 Manchester_United_FC_ Sporting_CP_ 1 1
235 Internazionale_ Fenerbahçe_İstanbul_SK_ 1 3
236 PSV_Eindhoven_ CSKA_Moskva_ 1 1
237 Sevilla_FC_ Arsenal_FC_ 1 2
238 Liverpool_FC_ FC_Porto_ 1 3
239 Beşiktaş_İstanbul_JK_ Olympique_Marseille_ 1 1
240 Chelsea_FC_ Rosenborg_BK_ 1 4
241 Olympiacos_ SS_Lazio_ 1 1
242 Werder_Bremen_ Real_Madrid_CF_ 1 1
243 Celtic_FC_ Shakhtar_Donetsk_ 1 1
244 AC_Milan_ Celtic_FC_ 1 1
245 SL_Benfica_ Shakhtar_Donetsk_ 1 1
246 FC_Porto_ Beşiktaş_İstanbul_JK_ 1 2
247 Liverpool_FC_ Olympique_Marseille_ 1 4
248 FC_Schalke_04_ Rosenborg_BK_ 1 2
249 Real_Madrid_CF_ SS_Lazio_ 1 2
250 Olympiacos_ Werder_Bremen_ 1 3
251 FC_Barcelona_ VfB_Stuttgart_ 1 2
252 Olympique_Lyon_ Rangers_FC_ 1 3
253 Sporting_CP_ Dinamo_Kiev_ 1 3
254 Internazionale_ PSV_Eindhoven_ 1 1
255 Fenerbahçe_İstanbul_SK_ CSKA_Moskva_ 1 2
256 Arsenal_FC_ Steaua_Bucuresti_ 1 1
257 Sevilla_FC_ Slavia_Praha_ 1 3
258 FC_Schalke_04_ FC_Porto_ 1 1
